Timestamp,Age,Gender,City,Position,Years of experience in EU,Total years of experience,Total annual gross salary in euro,Total annual gross salary in euro a year ago,First salary in EU,,Main language at work,Company size,Company type,Seniority level
12.09.2016 17:35:10,30,Male,Munich,Python ,0.5,7,60000,,60000,1,Deutsch,,Product,
14.09.2016 11:39:27,31,Male,Munich,Senior PHP Developer,4,10,,65000,60000,1,English,11-50,Startup,
21.09.2016 15:49:15,31,Male,Köln,PHP Developer,0,12,52000,52000,52000,1,English,51-100,Product,
22.09.2016 2:03:52,26,Male,Berlin,Middle iOS Developer,1,4,52000,-,52000,1,English,101-1000,Product,
23.09.2016 10:49:51,23,Male,Munich,Frontend Developer,0,3,45000,14000,45000,1,English,51-100,Product,
29.09.2016 10:31:52,,,,,,,,,,,,,,
04.10.2016 16:26:07,32,Female,Köln,"Junior Developer (full stack Java, JS; ex Senior QA)",5,9,62000,60000,36000,1,Deutsch,51-100,Other,
24.10.2016 15:07:39,30,Female,Berlin,QA Lead,1,8,50000,47000,47000,1,English,51-100,Startup,
26.10.2016 11:22:21,36,Male,Munich,devops,0,15,,,,,English,51-100,Product,
03.11.2016 12:55:52,31,Male,Karlsruhe,Web Developer,1,5,42000,42000,42000,1,English,11-50,Consulting / Agency,
07.11.2016 22:21:49,32,Male,Munich,Data Analyst,0,10,62500,,62500,,English,101-1000,Consulting / Agency,
14.11.2016 17:43:57,29,Male,Berlin,Senior PHP Developer,1,9,60000,10000,48600,2,English,101-1000,Startup,
25.11.2016 11:31:34,29,Male,Munich,front+back+devOps,0,6,63800,45000,65000,1,English,101-1000,Other,
29.11.2016 21:42:16,28,Male,Munich,Senior iOS Engineer,0,5,66000,0,66000,1,English,101-1000,Product,
29.11.2016 23:44:28,33,Male,Berlin,Senior Product Manager,1,11,69000,65000,65000,1,English,11-50,Product,
30.11.2016 12:50:17,33,Male,Mannheim,Seniour Architect,2,15,90000,66000,58000,2,English,11-50,Consulting / Agency,
04.12.2016 20:28:39,44,Male,Munchen,Software Engineer,2,25,90000,86000,84000,1,English,101-1000,Product,
05.04.2017 13:29:26,29,Male,Hamburg,Senior Java Developer,5,10,65000,65000,55000,3,English,51-100,Product,
09.08.2019 11:13:31,32,Female,Berlin ,UI Designer ,4,6,45000,40000,35000,3,English,51-100,Product,
09.08.2019 11:14:14,32,Female,Berlin ,UI Designer ,4,6,45000,40000,35000,3,English,51-100,Product,
